date	name	DIC	TA	pH	sd	n	Sal	pHNBS_predicted	HCO3	CO3	CO2	Aragonite	Calcite	nDIC	nTA
2022-02-04	Control	2059	2213	8.060903855900383	0	1	33.3	8.045	1921.977	117.024	19.999	1.77	2.57	2049.725225225225	2203.0315315315315
2022-02-05	Control	2074	2204	8.083487674934394	0	1	32.9	7.983	1947.723	102.925	23.352	1.56	2.26	2089.759878419453	2220.747720364742
2022-02-07	Control	1994	2110	8.060016533945168	0	1	33.1	7.953	1877.275	92.618	24.107	1.4	2.04	1997.012084592145	2113.1873111782475
2022-02-09	Control	2020	2114	8.058093951066779	0	1	33.3	7.888	1910.444	81.013	28.543	1.23	1.78	2010.900900900901	2104.477477477478
2022-02-17	Control	2077	2242	8.051773138280574	0	1	33.3	8.068	1933.594	124.359	19.048	1.89	2.74	2067.6441441441443	2231.900900900901
2022-03-03	Control	2033	2241	8.075954381455425	0	1	33	8.167	1867.693	150.636	14.671	2.28	3.31	2042.240909090909	2251.1863636363632
2022-02-04	Experimental-I	1741	1908	7.47	0.051	6029	33.1	8.116	1611.066	115.724	14.21	1.76	2.55	1748.0130916414903	1915.6858006042296
2022-02-05	Experimental-I	1717	1874	7.45	0.047	4320	33.4	8.095	1593.308	108.927	14.766	1.65	2.4	1708.432135728543	1864.6487025948104
2022-02-07	Experimental-I	2003	2021	7.38	0.016	1440	33.3	7.633	1906.806	44.977	51.217	0.68	0.99	1998.9899899899901	2016.9539539539542
2022-02-09	Experimental-I	2020	2024	7.38	0.084	1434	33.3	7.582	1921.654	40.319	58.026	0.61	0.89	2015.9559559559561	2019.9479479479483
2022-02-17	Experimental-I	2178	2222	7.548	0.008	720	33.3	7.722	2072.637	60.009	45.354	0.91	1.32	2173.6396396396403	2217.551551551552
2022-03-03	Experimental-I	2171	2258	7.658	0.012	720	33	7.856	2056.837	81.123	33.04	1.23	1.78	2186.350505050505	2273.9656565656564
2022-02-04	Experimental-II	1885	2205	7.68	0.044	5974	33.1	8.386	1655.729	221.427	7.844	3.36	4.87	1885	2205
2022-02-05	Experimental-II	2001	2105	7.71	0.051	4320	32.9	7.919	1888.707	86.019	26.274	1.3	1.89	2013.164133738602	2117.7963525835867
2022-02-07	Experimental-II	2115	2107	7.57	0.032	1440	33.1	7.543	2010.031	38.524	66.445	0.58	0.85	2115	2107
2022-02-09	Experimental-II	2087	2124	7.46	0.027	1434	33.1	7.7	1986.589	54.7	45.71	0.83	1.2	2087	2124
2022-02-17	Experimental-II	2156	2249	7.626	0.003	720	33.4	7.875	2040.605	83.981	31.414	1.27	1.85	2136.6347305389227	2228.7994011976048
2022-03-03	Experimental-II	2097	2258	7.81	0.003	720	33	8.057	1954.804	122.419	19.776	1.86	2.69	2103.3545454545456	2264.8424242424244
